ID,Politician_Similarity,Gender,Age,Affiliation,Study Purpose,Attention_Check1,Attention_Check2,condition,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm,vote
262,No one in particular,Male,28,Democrat,To study political opinions,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,2,5,6,6,2
263,"Offhand, I cannot think of any politician who has asserted that it's OK to lie. ",Female,55,Democrat,"Gosh, I've honestly no idea. But it was engaging. ",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,6,6,5,3,3,3,4,4,6,2
264,no,Female,38,Democrat,To see if you would vote for the politician. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,1,1,3,2,1,6,5,6,4,3,3,5
265,most if not at all,Male,32,Other,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,5,5,6,2,2,2,4,3,4,2
266,There is no way in the world that every politician can every tell the truth all the time. No politician is that pure. All are compromised in one form or another.,Male,50,Other,What people in general think about the believability of politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,5,5,5,3,3,3,3,4,3,4
267,Most politicians seem to think it is okay to bend the truth. Trump came to mind. ,Female,28,Democrat,How we feel about candidates who believe it is okay to lie and do so in their campaign,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,2,2,5,3,2,3,3,2,4,6,5,2
268,no,Female,30,Democrat,perceptions of a political candidate?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,4,6,5,7,2,2,1,6,6,5,2
269,Trump,Male,30,Democrat,"To see if our opinions of politicians change. Also, I think I might have answered ""not at all"" on the previous page, asking how immoral Matthew Johnson was. I meant ""extremely"". ",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,1,1,1,7,7,1,1
270,Biden and Harris,Female,57,Other,Collect opinions of surveyees on politicians' responses and actions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,3,4,4,3,2,4,2,3,3,3,2
271,yes,Female,64,Democrat,Is it ok to be dishonest depending on your position in life.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,4,6,6,6,2,2,2,4,4,6,2
272,"The description of Matthew Johnson didn't bring any specific politician, but I feel like the description describes many politicians and those in office.",Female,31,Other,The purpose was to view how we make choices based off of what a politician says and what is actually true.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,4,5,2,2,2,5,4,4,2
273,"Yes, all of them! But really, I think all politicians bend the truth to some extent to serve a ""higher purpose"", or maybe their own individual interests. Many politicians would probably think, even if they wouldn't say it, that it is ok to bend the truth to get what they want for the perceived greater good.",Male,30,Other,I think the purpose of the study was to measure how people view dishonesty and factor it into political support/ decisions.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,6,6,7,3,3,3,4,4,4,2
274,Not a specific one but I do believe they all politicians are at fault for fibbing the truth,Female,43,Democrat,The purpose of this survey is to see if political information can in fact cause bias and if its immoral or not to lie. ,,"Yes, he did lie about his campaign contributions.",5,control,no,5,7,3,4,6,5,4,5,3,6,6,2
275,All politicians really. ,Male,37,Other,Perceptions of lying in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,5,6,6,7,2,2,2,6,4,7,2
276,EVER ONE,Female,41,Democrat,POLITICS,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,4,6,5,4,2,2,2,7,7,5,2
277,"Not really because the vast majority of them lie. I'm thinking about Biden now though, he seems to fit that description pretty well.",Male,27,Republican,Studying how people view politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,7,1,1,1,6,6,7,1
278,all politicians ,Female,26,Democrat,what my political views are,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,1,2,1,2,2,6,5,5,3,4,5,6
279,all of them. They all lie.,Female,43,Other,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,6,4,4,6,2,2,2,5,4,2,3
280," Matthew W. Johnson, David B. Yaden on November 5, 2020 ... We suggest that there is no evidence that people change political or religious ... use the term “liberal” in reference to the scale because that term had a political meaning in the United ... LSD under medical treatment compared to those who did not take LSD.",Female,46,Democrat,nice study,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,6,7,7,6,7,6,6,7,6,7
281,If there was only one to pick from...,Male,44,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,2,2,2,4,4,7,2
282,almost all of them,Male,35,Democrat,attitudes on political candidates,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,5,2,3,4,3,4,4,4,3
283,"yes, several",Female,50,Republican,to determine the threshold/acceptability of lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,5,6,6,2,1,1,1,4,5,6,3
284,No,Female,24,Democrat,I think it was made to see how people feel about politicians who say things that do not actually align with what they are doing. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,4,6,6,2,2,2,5,5,5,3
285,No,Male,32,Democrat,How we evaluate a politician based on statements he makes concerning morals and ethics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,4,5,5,4,2,2,2,5,4,4,2
286,all of them,Female,36,Other,To determine whether we'd vote for someone who is a proven liar and hypocrite.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,6,7,7,7,2,2,2,6,6,7,3
287,no,Female,68,Democrat,I have no idea of the reason for study,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,2,5,5,6,2
288,I think a majority of politicians operate as does Matthew Johnson.,Female,62,Republican,I think you were checking to see home acceptable we find lying from politicians to be.,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,4,2,2,2,6,5,6,2
289,Matthew Johnson campaign advisor ,Male,47,Republican,Very like this study.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,5,6,5,4,6,5,5,6,5,6,6
290,No,Male,29,Republican,See if lies change how people perceive politicians. ,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,2,5,5,5,2
291,all of them,Male,62,Other,To see if or how people's determination of truth and morality are effected by partisanship.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,4,2,2,2,4,4,4,3
292,The description brings almost all politicians to mind.  The majority of them feel lying is fine if it benefits themselves.,Male,61,Democrat,I feel the purpose of the study was to judge how people feel about lying by politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,3,6,3,5,2,2,2,5,5,6,2
293,None that I can think of.,Female,37,Democrat,To study how people perceive politicians.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,4,5,4,3,2,2,2,5,7,6,2
294,"Joe Biden, Donald Trump",Male,57,Other,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,2,3,2,3,6,4,4,4,3,4,5,2
295,no,Male,67,Democrat,to collect data,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,6,5,5,3,5,4,6,4,4,4,6
296,Mitch McConnell,Female,33,Democrat,To see how people view a dishonest politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,7,7,6,5,2,2,2,4,6,6,2
297,The description did not bring any particular politician to mind. ,Male,37,Democrat,How people evaluate the ethics of politicians. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,5,6,5,5,3,2,2,4,4,6,2
298,no,Male,34,Democrat,to see how people rate trust in politicians,,"Yes, he did lie about his campaign contributions.",5,control,no,6,7,6,6,7,3,2,2,5,5,5,2
299,"Basically he is a typical, big city politician who will lie like a rug in order to get elected",Male,47,Democrat,"To see if finding out if a politician was dishonest was a deciding factor in our vote.  Well, except for possibly Trump, almost all politicians have failed to implement their campaign platforms so I am used to dishonesty",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,6,6,5,6,3,4,3,4,5,4,4
300,Donald Trump,Female,31,Democrat,To figure out our morals when it comes to voting.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,7,7,6,1,1,2,7,7,7,2
301,Tommy Tuberville ,Female,41,Other,Politics of politics.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,2,3,5,3,4,4,2,6,5,6,2
302,yes,Male,36,Other,Study people's attitudes towards these politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,5,5,4,5,5,3,4,3,4,5,6
303,pretty much any republican I'd say,Male,46,Republican,I couldn't really begin to guess what you hope to learn from this,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,4,6,6,4,2,3,2,6,6,6,2
304,Most of them ,Male,56,Other,To explore people's reactions and opinions on politicians in regards to their truthfulness ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,6,7,6,2,2,2,5,7,1,2
305,No,Male,38,Democrat,Not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,7,6,1,2,2,5,5,6,2
306,We suggest that there is no evidence that people change political or religious .,Female,41,Republican,Survey is very exciting.,,"Yes, he did lie about his campaign contributions.",5,control,no,4,5,6,7,6,6,5,4,6,5,6,6
307,each and everyone of them!,Female,58,Republican,moral stance on lying in politics and in general,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,2,7,6,2,1,1,1,5,6,7,2
308,no,Male,34,Other,games and judgements,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,4,4,4,4,2,2,2,5,4,3,1
309,"Yes, all of them.  Especially the likes of McConnell and Susan Collins.",Male,39,Democrat,I have no idea at all.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,4,7,7,6,1,1,1,6,4,7,1
310,no,Male,39,Democrat,Lying in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,6,6,7,2,2,2,4,4,5,2
311,It made me think of my states governor which is just a careless human who disregards the current pandemic and even worse the president who ignored the risks of the pandemic for 3 months while people we're getting sick and dying.,Male,32,Republican,Demographic study to see what types of groups react to lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,4,6,7,6,1,1,1,6,7,7,1
312,"Plenty of them, but I consider ""Matthew Johnson's"" lie in this scenario quite harmless...  I believe ALL politicians tell little white lies at times.",Female,48,Democrat,"If my opinion on a favored candidate would change, after finding out that he told a little white lie...",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,3,3,3,3,5,4,4,4,3,2,3,5
313,All politicians,Female,43,Republican,Impression of politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,4,5,4,4,5,5,5,4,4,2,4
314,No,Male,44,Other,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,2,3,3,2,4,4,4,4,4,6,4
315,no,Female,27,Democrat,perception towards morality in leadership,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,6,2,3,2,6,6,6,2
316,trump,Male,32,Democrat,perception,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,5,7,4,5,2,1,2,6,7,7,2
317,Yeah pretty much all of them. Joe Biden,Female,29,Republican,I think it was to see how people feel about politicians. I didn't say he was very unethical because all politicians lie and if they say they don't like or don't like lying that is also a lie. I think it just comes with the territory of being a politician.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,4,4,4,4,4,4,4
318,no,Female,48,Republican,I am unsure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,6,6,6,6,2,2,2,5,4,6,2
319,Yes. Donald Trump. ,Male,35,Democrat,Studying how people feel about politicians that lie. ,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,6,3,2,3,2,4,5,6,2
320,"Not really. Most politicians are known for spinning the truth, so it's hard to single one out.",Male,30,Democrat,Assessing morality in political campaigns.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,4,7,7,2,2,3,4,4,4,3
321,"yes, Donald Trump.",Male,24,Other,i think the purpose of the study was to see how people react to lying politicians,,"Yes, he did lie about his campaign contributions.",5,control,no,6,7,5,5,7,2,3,3,5,6,7,3
322,TRUMP!,Male,38,Democrat,"to study one's moral reaction to a politician lying, if they are bothered by it or look the other way",,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,5,4,4,2,2,2,5,6,6,2
323,"Minority talk did bring some politicians to mind. Others have lied about taking money from other places, too. ",Female,33,Democrat,To see how people feel about politics and white lies.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,3,3,4,3,3,3,4,3,2,2,4,4
324,Trump,Male,32,Democrat,Perceptions of lying political candidates.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,4,3,4,3
325,Matthew Johnson works on the archaeology of Europe and the Atlantic world and history of Europe from the Roman Empire ,Male,30,Republican,the study is good ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,5,6,7,6,6,7,6,7,6,7,6
326,Not necessarily; I don't really concern myself in politics,Female,26,Republican,Seeing how people feel about politicians that tend to lie and if they'd rather them be honest about it or hide the truth that they lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,4,5,3,2,3,2,6,6,6,3
327,No,Male,38,Democrat,Judging morality,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,3,3,3,6,6,6,3
328,Donald Trump,Male,48,Democrat,Opinions of political figures saying one thing and doing the opposite,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,6,3,3,2,6,5,6,2
329,All of them ,Female,41,Republican,"To see if  I think lying is moral or ethical,",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,3,5,5,6,2,2,2,5,5,3,2
330,no,Female,36,Democrat,"I""m honestly not sure. ",,"Yes, he did lie about his campaign contributions.",5,control,no,6,3,6,4,5,2,1,2,4,2,5,2
331,No,Female,35,Democrat,Assessing language of politicans,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,3,4,4,4,4,5,4,3,1,4,5
332,Not one in particular. Most of them say what they think people want to hear and then get caught. ,Female,39,Democrat,To gage my feelings on politicians and how important their honesty is.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,3,5,2,4,3,2,6,6,5,4
333,trump,Male,35,Other,views on ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,4,6,6,2,1,1,1,5,5,6,2
334,"Yes, too many to name.",Female,41,Other,I'm not really sure to be honest.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,5,5,7,1
335,"No, they're all lying cheats.",Female,59,Democrat,Attitudes toward politicians and lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,6,2,2,2,4,4,6,3
336,Not really any specific politician but I could see a lot of politicians doing something like this.,Male,30,Democrat,Perceptions of a candidate and opinions about actions and words that they have said.,,"Yes, he did lie about his campaign contributions.",5,control,no,3,4,3,2,2,5,5,4,4,4,4,5
337,Yes basically all of them,Female,33,Democrat,I think it had something to do with how Id view a candidate and their responses about lying when they get caught lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,6,6,7,1
338,no,Male,44,Republican,attitude for the politician with lie ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,6,6,5,6,2,2,2,6,6,5,2
339,no,Male,28,Democrat,see what people think about what is okay to lie or not,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,2,2,2,6,6,6,2
340,None that I can think of.,Female,45,Other,I have no idea.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,6,3,2,3,3,3,4,5,3
341,yes,Female,69,Republican,To assess whether or not people think it is OK for politicians to tell lies or stretch the truth.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,3,4,6,2
342,no,Female,30,Democrat,To see hoe people felt about candidate who was against lying but also lied. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,7,3,3,3,6,6,5,2
343,no,Female,31,Other,How voters view candidates based on their morals over their ideas or contributions/changes they wish to make when in office.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,4,4,4,4,4,4,4,3,2,4,1
344,The 45th President,Male,28,Democrat,I dont know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,7,7,1,1,1,4,1,7,1
345,"I didn't think of anyone in particular, no.",Female,40,Democrat,I'm uncertain about the purpose of the study.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,7,2,2,2,6,5,6,2
346,Republican candidates for Senate in Georgia.,Male,68,Democrat,"Judgment of political candidate.
",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,4,5,5,4,4,4,4,3,4,4
347,The Democratic candidate for Governor in Missouri had a similar scandal.,Male,30,Other,I think it was to gauge willingness to abandon a candidate due to immoral actions.,,"Yes, he did lie about his campaign contributions.",5,control,no,4,5,5,6,3,3,3,2,5,5,6,3
348,Joe Biden,Male,47,Republican,Evaluating the words and deceptions of politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,1,1,3,2,6,7,5,4,5,7,7,5
349,Not any specific politician.,Male,25,Democrat,"How people view the actions and behaviors of politicians, namely ones that act differently or inconsistently than they claim.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,7,6,6,7,2,2,2,4,5,6,2
350,"By Matthew W. Johnson, David B. Yaden on November 5, 2020 We suggest that there is no evidence that people change political or religious use the term “liberal” in reference to the scale because that term had a political meaning in the United LSD under medical treatment compared to those who did not take LSD.",Female,42,Democrat,The survey is very nice,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,5,6,6,5,6,7,5,5,7,6,5
351,"Trump, actually.",Female,31,Republican,To determine whether or not a person would vote for an immoral politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,6,7,6,6,1,1,1,7,7,7,1
352," plan to focus on education, both our K-12 institutions and higher education, if elected to office",Female,43,Republican,"psychology research study. In this study, you will learn information about a political candidate and answer questions related to this information.",,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,6,7,7,7,6,7,7,7,7
353,Donald Trump,Female,38,Democrat,To see if a lie would change how you feel about a political candidate. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,3,3,3,5,7,3,3,2,6,6,5,2
354,"I can't think of any in specific, although Trump comes to mind anytime ""politician"" and ""lying"" are in the same sentence.",Female,49,Democrat,"I want to say it had to do with party loyalty: would we vote for someone in our own party if that person espouses a view contrary to our own and lies to us. Could also be how we feel about someone who lies and who also espouses lying (it's kind of a conundrum: this person lied and did something he said he didn't do, which kind of makes him a hypocrite...but at the same time, lying seems to be one of his ""values""...so does that make him a hypocrite or not?) Other than that...I have no clue!",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,5,7,7,3,1,1,1,6,6,7,1
355,Trump,Female,32,Democrat,If you still trust a dishonest candidate.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,2,7,7,2,1,1,1,6,6,1,1
356,"No, not really, as I haven't focused on any local or state elections. All presidential candidates have PACs and super PACs.",Male,34,Democrat,It was to study how catching a politician in a lie affects your opinion of them.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,6,6,7,3,3,2,4,3,5,2
357,no,Male,44,Other,to see how people perceive politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,2,6,6,5,2,2,2,6,6,7,2
358,Not really,Female,52,Democrat, learn information about a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,7,6,7,7,4,4,4,6,6,7,2
359,not really,Female,60,Democrat,no idea,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,4,4,4,3,3,3,3,3,3,3
360,Joe Biden,Male,43,Republican,To see if I would vote for someone that lied to me. ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,2,2,1,1,6,4,7,2
361,most of them really,Female,39,Other,I really have no idea,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,6,2,2,1,5,6,6,2
362,No politicians came to mind.,Female,40,Republican,"To see if people would still be willing to vote for their candidate knowing they admitted that lying, sometimes for a politician, is ok.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,2,3,3,3,3,3,3,3,5,5,5,6
363,Donald J Trump,Female,71,Democrat,To measure tolerance for lying in politics.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,6,7,6,1
364,no,Male,35,Democrat,"the study was aimed at getting respondents' views on how ethical and moral it is for a politician to lie, and if such hypocrisy will make a difference to their support of the politician",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,6,6,6,7,2,3,2,4,5,3,2
365,Yes,Male,29,Democrat,Evaluating how insincere politicians can affect voters decisions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,6,7,2,2,1,6,5,7,2
366,no,Male,36,Republican,idk,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,4,2,4,3,3,3,4,4,4,2
367,No,Female,34,Democrat,I'm not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,5,3,5,2,4,3,3,4,5,4,2
368,"Every other politician act in that way,like him.",Male,39,Republican,People opinion research about the politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,7,2,3,2,4,5,4,2
369,Donald Trump,Male,23,Democrat,How people react to political candidate campaign details,,"Yes, he did lie about his campaign contributions.",5,control,no,6,7,6,6,7,2,2,2,5,6,5,2
370,none,Male,27,Democrat,dont know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,6,5,6,5,3,4,4,4,4,4,3
371,Every single politician ever. No specific ones though,Male,39,Democrat,unsure.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,5,7,7,7,2,2,2,4,4,4,2
372,"Honestly, he sounds like a standard politician. He may not outright lie but he is obtuse. ",Male,29,Republican,To see how we evaluated the politician after seeing how he lied about campaign contributions.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,4,4,5,4,4,4,4,3,4,3
373,no,Male,31,Democrat,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,4,4,4,5,3,4,4,4,3,2,5,5
374,no,Female,38,Democrat,i don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,7,3,3,3,4,4,4,3
375,It brings many politicians to mind. Trump and his cronies have a total disregard to honesty.,Male,38,Democrat,Our thoughts about honesty in politics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,7,7,7,1,1,1,1,5,1,7,1
376,Trump,Female,58,Democrat,"The purpose of this study may be to test attitudes toward PAC's, and especially about lying about political funding sources.",,"Yes, he did lie about his campaign contributions.",5,control,no,6,4,6,6,6,2,3,2,4,3,6,2
377,no,Female,32,Democrat,no idea,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,5,5,6,4,4,5,5,4,6,4
378,N/A,Male,30,Other,-,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,5,5,6,4,2,2,2,5,5,6,2
379,no,Female,28,Democrat,comparing integrity values,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,1,1,1,4,5,5,1
380,Donald Trump,Male,28,Democrat,How people view and perceive politicians. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,1,1,3,3,1,1,1,1,5,5,6,2
381,not really,Male,33,Democrat,no idea,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,4,3,3,3,4,4,4,4,5,4,4
382,Most if not all of them.,Male,32,Democrat,I am not sure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,4,7,3,3,6,4,3,4,3,3,5,4
383,good,Female,45,Democrat,good,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,6,6,7,6,6,7,6,6
384,"Many of them, if not most.",Male,70,Democrat,"Matthew Johnson says what his campaign manager advised, but we also see that he does, in fact, practice deception (accepting PAC money). So he's being honest in his response during the interview, but dishonest in his daily practice. I'd have a hard time trusting him. I think the researchers are looking for how respondents rate candidates according to their relative truthtelling, i.e. when they tell the truth only when it serves to benefit themselves.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,5,5,5,5,2,2,1,5,6,6,2
385,No,Male,39,Other,To see if people are angry about hypocrisy.  My thoughts are more democrats will care and more republicans will not care.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,2,2,2,4,4,6,5
386,no,Female,46,Republican,deceptive politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,5,5,6,2,2,3,3,3,3,2
